"deviceType","duration_sec"
"TILE","17975481"
"TILE","17974066"
"TILE","17561072"
"TILE","17557736"
"TILE","17543196"
"TILE","17475259"
"TILE","17473098"
"TILE","17470275"
"TILE","17466534"
"TILE","17464514"
"TILE","17391399"
"TILE","17387508"
"TILE","17382933"
"TILE","17379172"
"TILE","17376986"
"TILE","17365825"
"TILE","16357323"
"TILE","16355819"
"TILE","16354362"
"TILE","16352807"
"TILE","16349985"
"TILE","16348611"
"TILE","16347699"
"TILE","16346764"
"TILE","16344717"
"TILE","16342791"
"TILE","16340539"
"TILE","16339521"
"TILE","16338572"
"TILE","16337611"
"TILE","16335485"
"TILE","16334369"
"TILE","16332467"
"TILE","16331555"
"TILE","16179801"
"TILE","16178052"
"TILE","16176880"
"TILE","16166602"
"TILE","16164457"
"TILE","16161517"
"TILE","16157659"
"TILE","16155933"
"TILE","16154693"
"TILE","15749188"
"TILE","15747973"
"TILE","15746916"
"TILE","15745624"
"TILE","15742362"
"TILE","15741278"
"TILE","15731516"
"TILE","15727836"
"TILE","15724829"
"TILE","15662258"
"TILE","15645941"
"TILE","15572741"
"TILE","15571826"
"TILE","15570788"
"TILE","15566259"
"TILE","15561450"
"TILE","15558216"
"TILE","14354548"
"TILE","14352647"
"TILE","28820"
"TILE","27825"
"TILE","26863"
"TILE","23896"
"TILE","21841"
"TILE","19473"
"TILE","8785"
"TILE","4517"
"TILE","3487"
"TILE","1477"
"TILE","519"
"TILE","28872829"
"TILE","28864943"
"TILE","28863881"
"TILE","26535641"
"TILE","24326"
"TILE","20129"
"TILE","18018"
"TILE","15102"
"TILE","14182"
"TILE","13242"
"TILE","7914"
"TILE","1855"
"TILE","26962859"
"TILE","2185"
"TILE","1143"
"TILE","118"
"TILE","47179336"
"TILE","46461206"
"TILE","45432223"
"TILE","44655629"
"TILE","44653463"
"TILE","44652335"
"TILE","43319641"
"TILE","43165783"
"TILE","42549177"
"TILE","42304214"
"TILE","41958339"
"TILE","41956474"
"TILE","41951818"
"TILE","41946325"
"TILE","41944294"
"TILE","41942366"
"TILE","41938516"
"TILE","41250853"
"TILE","39985779"
"TILE","38067656"
"TILE","38056810"
"TILE","37466184"
"TILE","35045921"
"TILE","35042216"
"TILE","35021542"
"TILE","34957355"
"TILE","33929894"
"TILE","33904069"
"TILE","33217842"
"TILE","23898222"
"TILE","21287099"
"TILE","18368578"
"TILE","18353937"
"TILE","18347220"
"TILE","16576228"
"TILE","18013"
"TILE","24871354"
"TILE","24802613"
"TILE","24801654"
"TILE","24799571"
"TILE","24797066"
"TILE","24794805"
"TILE","24790931"
"TILE","24787031"
"TILE","24785795"
"TILE","27260"
"TILE","19244"
"TILE","18018"
"TILE","16664"
"TILE","14545"
"TILE","10949"
"TILE","9461"
"TILE","8512"
"TILE","7584"
"TILE","6659"
"TILE","5591"
"TILE","4565"
"TILE","3623"
"TILE","2377"
"TILE","1175"
"TILE","198"
"TILE","33802113"
"TILE","33801152"
"TILE","33799301"
"TILE","33789711"
"TILE","33786771"
"TILE","33785853"
"TILE","33190264"
"TILE","32406384"
"TILE","32405470"
"TILE","32154912"
"TILE","32153088"
"TILE","31559101"
"TILE","31553365"
"TILE","31546785"
"TILE","31543946"
"TILE","31540225"
"TILE","31538389"
"TILE","31476667"
"TILE","31474679"
"TILE","31473746"
"TILE","31470825"
"TILE","31466934"
"TILE","31463216"
"TILE","31460440"
"TILE","31450221"
"TILE","31433146"
"TILE","30350842"
"TILE","30343344"
"TILE","30340478"
"TILE","30339557"
"TILE","27912982"
"TILE","27150867"
"TILE","27145115"
"TILE","27136697"
"TILE","26636575"
"TILE","26623263"
"TILE","25934245"
"TILE","25932273"
"TILE","25929462"
"TILE","25925495"
"TILE","24823692"
"TILE","24820854"
"TILE","24815067"
"TILE","24739790"
"TILE","24738876"
"TILE","24736998"
"TILE","24730200"
"TILE","24729279"
"TILE","24728365"
"TILE","28819"
"TILE","25930"
"TILE","24903"
"TILE","22002"
"TILE","19991"
"TILE","18968"
"TILE","18027"
"TILE","16937"
"TILE","15988"
"TILE","22223216"
"TILE","22145322"
"TILE","22143439"
"TILE","22139661"
"TILE","20578763"
"TILE","19726202"
"TILE","19721529"
"TILE","19370045"
"TILE","18083513"
"TILE","18081633"
"TILE","18080685"
"TILE","18075934"
"TILE","17822992"
"TILE","17820213"
"TILE","17388445"
"TILE","17301907"
"TILE","17298055"
"TILE","17295255"
"TILE","16955212"
"TILE","16184005"
"TILE","16175537"
"TILE","16092570"
"TILE","25725"
"TILE","20883"
"TILE","18020"
"TILE","21703769"
"TILE","21691708"
"TILE","19378780"
"TILE","18258095"
"TILE","18257146"
"TILE","18256236"
"TILE","18255318"
"TILE","18254326"
"TILE","18157836"
"TILE","18156755"
"TILE","17900029"
"TILE","17899119"
"TILE","17636086"
"TILE","17481320"
"TILE","16963056"
"TILE","16864817"
"TILE","16697982"
"TILE","16685116"
"TILE","16684128"
"TILE","16683195"
"TILE","16356299"
"TILE","16354417"
"TILE","16353480"
"TILE","16351660"
"TILE","16341987"
"TILE","16341078"
"TILE","16340160"
"TILE","16339250"
"TILE","15753107"
"TILE","15752197"
"TILE","15580264"
"TILE","15579019"
"TILE","15578027"
"TILE","15577105"
"TILE","15576160"
"TILE","15575247"
"TILE","15574337"
"TILE","15572252"
"TILE","15482458"
"TILE","15481521"
"TILE","15146695"
"TILE","15041247"
"TILE","15040333"
"TILE","15039423"
"TILE","15038506"
"TILE","25218"
"TILE","21707468"
"TILE","21703609"
"TILE","19376560"
"TILE","18509810"
"TILE","18504191"
"TILE","17293358"
"TILE","16954249"
"TILE","18007"
"TILE","27759775"
"TILE","27758779"
"TILE","27675172"
"TILE","27673384"
"TILE","18522440"
"TILE","18514498"
"TILE","18003387"
"TILE","18001333"
"TILE","17998709"
"TILE","17996026"
"TILE","17478865"
"TILE","17399347"
"TILE","17309954"
"TILE","17303293"
"TILE","16878477"
"TILE","16876169"
"TILE","16874177"
"TILE","16871710"
"TILE","16787831"
"TILE","16784488"
"TILE","16707074"
"TILE","16701694"
"TILE","16095529"
"TILE","15667834"
"TILE","15583427"
"TILE","15497997"
"TILE","15496985"
"TILE","15495173"
